id,zona,tracker,fila,tipo,strings,articulada,art_plano,x,y_sur,y_norte,z_sur,z_norte,pend_long,pend_long_trk,s_oeste,s_este,azi_oeste,azi_este,mag_oeste,mag_este,resid_oeste,resid_este,vec_oeste,vec_este,herm_oeste,herm_este,tcu_s_oeste,tcu_az_oeste,tcu_mag_oeste,tcu_s_este,tcu_az_este,tcu_mag_este,tcu_vec_oeste,tcu_vec_este,tcu_herm_oeste,tcu_herm_este,pend_proy,d_pend,estado,sector,origen
HD-1-0,HD,1,0,2TTx56,4,NO,NO,659564.351,4331903.675,4331978.371,726.271,726.19,-0.108,-0.164,2.632,-3.52,86.4,87.3,2.637,3.524,0.055,0.021,no,no,,,4.088,87.7,4.091,-3.486,87.3,3.49,HD-1-0 (hermana),HD-2-0,SI,NO,-0.262,0.154,ok,,medido
HD-1-1,HD,1,1,2TTx56,4,NO,NO,659570.333,4331903.666,4331978.351,726.068,725.904,-0.22,-0.164,2.969,-3.302,86.8,87.2,2.974,3.306,0.099,0.014,no,no,,,4.088,87.7,4.091,-3.486,87.3,3.49,HD-1-0 (hermana),HD-2-0,SI,NO,-0.361,0.141,ok,,medido
HD-10-0,HD,10,0,2TTx56,4,NO,NO,659636.356,4331903.623,4331978.322,724.008,723.395,-0.821,-0.882,3.95,-3.822,77.4,77.0,4.047,3.922,0.038,0.074,sí,no,,,4.224,78.2,4.315,-3.088,74.1,3.211,HD-8-1,HD-10-1 (hermana),NO,SI,-0.904,0.083,ok,,medido
HD-10-1,HD,10,1,2TTx56,4,NO,NO,659642.35,4331903.609,4331978.322,723.869,723.164,-0.944,-0.882,3.726,-4.121,76.7,77.9,3.829,4.214,0.04,0.053,sí,no,,,4.224,78.2,4.315,-3.088,74.1,3.211,HD-8-1,HD-10-1 (hermana),NO,SI,-0.876,-0.068,ok,,medido
HD-100-0,HD,100,0,2TTx56,4,NO,NO,660080.359,4331782.986,4331857.67,715.795,714.005,-2.397,-2.606,0.829,0.268,17.6,354.1,2.734,2.62,0.267,0.042,no,sí,,,-0.405,351.2,2.637,0.821,342.5,2.732,HD-100-0 (hermana),HD-103-0,SI,NO,-2.452,0.055,ok,,medido
HD-100-1,HD,100,1,2TTx56,4,NO,NO,660086.35,4331783.0,4331857.677,715.975,713.873,-2.815,-2.606,-0.243,0.106,354.7,357.7,2.617,2.608,0.109,0.043,no,sí,,,-0.405,351.2,2.637,0.821,342.5,2.732,HD-100-0 (hermana),HD-103-0,SI,NO,-2.772,-0.043,ok,,medido
HD-101-0,HD,101,0,2TTx56,4,NO,NO,660080.339,4331857.922,4331932.596,714.061,712.48,-2.117,-2.039,2.151,-1.811,46.5,41.6,2.964,2.727,0.148,0.02,sí,sí,,,2.915,55.0,3.558,-1.477,35.9,2.518,HD-98-1,HD-101-1 (hermana),NO,SI,-2.241,0.124,ok,,medido
HD-101-1,HD,101,1,2TTx56,4,NO,NO,660086.35,4331857.882,4331932.561,713.915,712.45,-1.962,-2.039,1.824,-1.61,41.8,38.3,2.736,2.598,0.031,0.05,sí,sí,,,2.915,55.0,3.558,-1.477,35.9,2.518,HD-98-1,HD-101-1 (hermana),NO,SI,-2.277,0.315,ok,,medido
HD-102-0,HD,102,0,2TTx56,4,NO,NO,660080.385,4331932.802,4332007.478,712.511,711.422,-1.458,-1.449,1.317,-1.142,42.3,38.2,1.958,1.845,0.101,0.028,sí,no,,,1.579,47.5,2.144,-0.674,24.9,1.599,HD-98-1,HD-102-1 (hermana),NO,SI,-1.184,-0.274,ok,,medido
HD-102-1,HD,102,1,2TTx56,4,NO,NO,660086.384,4331932.799,4332007.49,712.464,711.388,-1.441,-1.449,0.992,-1.382,34.4,43.6,1.756,2.003,0.042,0.031,sí,no,,,1.579,47.5,2.144,-0.674,24.9,1.599,HD-98-1,HD-102-1 (hermana),NO,SI,-1.123,-0.318,ok,,medido
