id,mesa,y_ini,y_fin,z_ini,z_fin,L,pend
HD-136-0,1/2,4331839.418,4331876.664,713.685,711.858,37.25,-4.905
HD-136-0,2/2,4331876.664,4331914.199,711.858,710.488,37.54,-3.65
HD-136-1,1/2,4331839.629,4331876.85,713.658,711.742,37.22,-5.148
HD-136-1,2/2,4331876.85,4331914.371,711.742,710.431,37.52,-3.494
HD-39-0,1/2,4331803.842,4331841.103,720.599,718.981,37.26,-4.342
HD-39-0,2/2,4331841.103,4331878.63,718.981,718.232,37.53,-1.996
HD-39-1,1/2,4331803.87,4331841.117,720.488,718.969,37.25,-4.078
HD-39-1,2/2,4331841.117,4331878.677,718.969,718.108,37.56,-2.292
HD-57-0,1/2,4331857.905,4331895.167,717.251,716.239,37.26,-2.716
HD-57-0,2/2,4331895.167,4331932.716,716.239,715.686,37.55,-1.473
HD-57-1,1/2,4331857.986,4331895.235,717.34,716.088,37.25,-3.361
HD-57-1,2/2,4331895.235,4331932.767,716.088,715.516,37.53,-1.524
HD-60-0,1/2,4331858.012,4331895.235,717.081,716.048,37.22,-2.775
HD-60-0,2/2,4331895.235,4331932.79,716.048,715.157,37.55,-2.373
HD-60-1,1/2,4331858.061,4331895.298,717.128,715.931,37.24,-3.215
HD-60-1,2/2,4331895.298,4331932.839,715.931,714.979,37.54,-2.536
HD-61-0,1/2,4331932.994,4331970.251,715.159,714.502,37.26,-1.763
HD-61-0,2/2,4331970.251,4332007.782,714.502,713.608,37.53,-2.382
HD-61-1,1/2,4331933.193,4331970.465,714.987,714.196,37.27,-2.122
HD-61-1,2/2,4331970.465,4332007.955,714.196,713.426,37.49,-2.054
HD-72-0,1/2,4331832.921,4331870.174,717.299,716.303,37.25,-2.674
HD-72-0,2/2,4331870.174,4331907.738,716.303,715.174,37.56,-3.006
HD-72-1,1/2,4331833.035,4331870.303,717.166,716.243,37.27,-2.477
HD-72-1,2/2,4331870.303,4331907.837,716.243,715.193,37.53,-2.797
HD-76-0,1/2,4331832.939,4331870.186,716.892,716.13,37.25,-2.046
HD-76-0,2/2,4331870.186,4331907.749,716.13,715.086,37.56,-2.779
HD-76-1,1/2,4331833.03,4331870.296,716.749,715.933,37.27,-2.19
HD-76-1,2/2,4331870.296,4331907.868,715.933,714.986,37.57,-2.52
HD-80-0,1/2,4331814.421,4331851.702,716.841,716.321,37.28,-1.395
HD-80-0,2/2,4331851.702,4331889.27,716.321,715.509,37.57,-2.161
HD-80-1,1/2,4331814.535,4331851.814,716.668,716.084,37.28,-1.567
HD-80-1,2/2,4331851.814,4331889.39,716.084,715.452,37.58,-1.682
HD-84-0,1/2,4331814.426,4331851.721,716.502,715.915,37.29,-1.574
HD-84-0,2/2,4331851.721,4331889.273,715.915,715.29,37.55,-1.664
HD-84-1,1/2,4331814.523,4331851.824,716.262,715.695,37.3,-1.52
HD-84-1,2/2,4331851.824,4331889.381,715.695,715.204,37.56,-1.307
PD-410-0,1/2,4331369.576,4331406.793,754.605,753.194,37.22,-3.791
PD-410-0,2/2,4331406.793,4331444.313,753.194,752.642,37.52,-1.471
PD-410-1,1/2,4331369.629,4331406.824,754.478,753.117,37.2,-3.659
PD-410-1,2/2,4331406.824,4331444.35,753.117,752.541,37.53,-1.535
PD-416-0,1/2,4331369.575,4331406.776,754.477,752.958,37.2,-4.083
PD-416-0,2/2,4331406.776,4331444.291,752.958,752.237,37.52,-1.922
PD-416-1,1/2,4331369.665,4331406.88,754.339,752.76,37.21,-4.243
PD-416-1,2/2,4331406.88,4331444.4,752.76,752.209,37.52,-1.469
PD-463-0,1/2,4331935.493,4331972.777,731.02,730.281,37.28,-1.982
PD-463-0,2/2,4331972.777,4332010.295,730.281,729.613,37.52,-1.78
PD-463-1,1/2,4331935.562,4331972.833,730.936,730.191,37.27,-1.999
PD-463-1,2/2,4331972.833,4332010.355,730.191,729.536,37.52,-1.746
PD-545-0,1/2,4331590.672,4331627.932,728.327,726.914,37.26,-3.792
PD-545-0,2/2,4331627.932,4331665.474,726.914,726.171,37.54,-1.979
PD-545-1,1/2,4331590.843,4331628.08,728.434,726.857,37.24,-4.235
PD-545-1,2/2,4331628.08,4331665.62,726.857,726.188,37.54,-1.782
PD-552-0,1/2,4331570.375,4331607.526,730.786,727.733,37.15,-8.218
PD-552-0,2/2,4331607.526,4331645.011,727.733,725.905,37.49,-4.877
PD-552-1,1/2,4331570.492,4331607.63,730.75,727.718,37.14,-8.164
PD-552-1,2/2,4331607.63,4331645.139,727.718,726.019,37.51,-4.53
PD-555-0,1/2,4331570.25,4331607.417,730.863,727.749,37.17,-8.378
PD-555-0,2/2,4331607.417,4331644.919,727.749,726.102,37.5,-4.392
PD-555-1,1/2,4331570.344,4331607.494,730.807,727.738,37.15,-8.261
PD-555-1,2/2,4331607.494,4331645.004,727.738,726.162,37.51,-4.202
PD-558-0,1/2,4331570.219,4331607.365,730.663,727.808,37.15,-7.686
PD-558-0,2/2,4331607.365,4331644.875,727.808,726.197,37.51,-4.295
PD-558-1,1/2,4331570.362,4331607.529,730.549,727.735,37.17,-7.571
PD-558-1,2/2,4331607.529,4331645.027,727.735,726.21,37.5,-4.067
PD-561-0,1/2,4331570.341,4331607.524,730.37,727.753,37.18,-7.038
PD-561-0,2/2,4331607.524,4331645.052,727.753,726.238,37.53,-4.037
PD-561-1,1/2,4331570.443,4331607.644,730.225,727.779,37.2,-6.575
PD-561-1,2/2,4331607.644,4331645.161,727.779,726.262,37.52,-4.044
