id,x,y,z,medido,desplaz
HD-1-0,659564.351,4331941.023,726.231,NO,0.0
HD-1-1,659570.333,4331941.009,725.986,NO,0.0
HD-10-0,659636.356,4331940.973,723.701,NO,0.0
HD-10-1,659642.35,4331940.965,723.516,NO,0.0
HD-100-0,660080.359,4331820.328,714.9,NO,0.0
HD-100-1,660086.35,4331820.339,714.924,NO,0.0
HD-101-0,660080.339,4331895.259,713.271,NO,0.0
HD-101-1,660086.35,4331895.221,713.183,NO,0.0
HD-102-0,660080.385,4331970.14,711.966,NO,0.0
HD-102-1,660086.384,4331970.145,711.926,NO,0.0
HD-103-0,660092.33,4331820.208,714.977,NO,0.0
HD-103-1,660098.319,4331820.279,714.98,NO,0.0
HD-104-0,660092.307,4331895.27,713.042,NO,0.0
HD-104-1,660098.301,4331895.238,712.934,NO,0.0
HD-105-0,660092.307,4331970.131,711.803,NO,0.0
HD-105-1,660098.304,4331970.142,711.751,NO,0.0
HD-106-0,660104.348,4331820.349,714.918,NO,0.0
HD-106-1,660110.36,4331820.343,714.942,NO,0.0
HD-107-0,660104.35,4331895.266,712.845,NO,0.0
HD-107-1,660110.356,4331895.268,712.806,NO,0.0
HD-108-0,660104.356,4331970.14,711.709,NO,0.0
HD-108-1,660110.346,4331970.164,711.624,NO,0.0
HD-109-0,660116.289,4331820.36,714.95,NO,0.0
HD-109-1,660122.31,4331820.329,714.945,NO,0.0
HD-11-0,659648.339,4331866.035,722.956,NO,0.0
HD-11-1,659654.313,4331866.05,722.783,NO,0.0
HD-110-0,660116.299,4331895.218,712.751,NO,0.0
HD-110-1,660122.306,4331895.224,712.773,NO,0.0
HD-111-0,660116.313,4331970.125,711.484,NO,0.0
HD-111-1,660122.311,4331970.151,711.471,NO,0.0
HD-112-0,660128.353,4331820.346,714.957,NO,0.0
HD-112-1,660134.343,4331820.32,714.961,NO,0.0
HD-113-0,660128.345,4331895.171,712.692,NO,0.0
HD-113-1,660134.345,4331895.186,712.605,NO,0.0
HD-114-0,660128.378,4331970.059,711.412,NO,0.0
HD-114-1,660134.371,4331970.088,711.373,NO,0.0
HD-115-0,660140.277,4331820.371,714.997,NO,0.0
HD-115-1,660146.284,4331820.3,715.108,NO,0.0
HD-116-0,660140.284,4331895.247,712.527,NO,0.0
HD-116-1,660146.306,4331895.223,712.478,NO,0.0
HD-117-0,660140.313,4331970.136,711.301,NO,0.0
HD-117-1,660146.311,4331970.139,711.191,NO,0.0
HD-118-0,660152.319,4331820.351,715.202,NO,0.0
HD-118-1,660158.313,4331820.299,715.329,NO,0.0
HD-119-0,660152.326,4331895.208,712.44,NO,0.0
HD-119-1,660158.323,4331895.249,712.526,NO,0.0
HD-12-0,659648.325,4331941.013,723.318,NO,0.0
HD-12-1,659654.309,4331940.963,723.077,NO,0.0
HD-120-0,660152.327,4331970.121,711.119,NO,0.0
HD-120-1,660158.322,4331970.138,711.09,NO,0.0
HD-121-0,660164.302,4331794.579,716.304,NO,0.0
HD-121-1,660170.311,4331794.553,716.375,NO,0.0
HD-122-0,660164.278,4331924.695,711.503,NO,0.0
HD-122-1,660170.311,4331924.694,711.369,NO,0.0
HD-123-0,660164.321,4331990.406,711.019,NO,0.0
HD-123-1,660170.329,4331990.374,711.015,NO,0.0
HD-124-0,660176.338,4331794.588,716.405,NO,0.0
HD-124-1,660182.356,4331794.568,716.451,NO,0.0
HD-125-0,660176.37,4331924.731,711.317,NO,0.0
HD-125-1,660182.34,4331924.69,711.251,NO,0.0
HD-126-0,660176.337,4331990.384,711.026,NO,0.0
HD-126-1,660182.371,4331990.364,711.038,NO,0.0
HD-127-0,660188.328,4331924.708,711.141,NO,0.0
HD-127-1,660194.297,4331924.737,711.08,NO,0.0
HD-128-0,660188.295,4331990.41,710.982,NO,0.0
HD-128-1,660194.279,4331990.398,710.881,NO,0.0
HD-129-0,660200.357,4331924.709,711.014,NO,0.0
HD-129-1,660206.367,4331924.72,710.857,NO,0.0
HD-13-0,659660.329,4331866.052,722.562,NO,0.0
HD-13-1,659666.312,4331866.026,722.37,NO,0.0
HD-130-0,660200.394,4331990.41,710.878,NO,0.0
HD-130-1,660206.367,4331990.348,710.74,NO,0.0
HD-131-0,660212.284,4331876.817,712.412,NO,0.0
HD-131-1,660218.319,4331876.859,712.247,NO,0.0
HD-132-0,660212.312,4331951.741,710.424,NO,0.0
HD-132-1,660218.333,4331951.745,710.351,NO,0.0
HD-133-0,660224.284,4331876.86,712.18,NO,0.0
HD-133-1,660230.306,4331876.862,712.109,NO,0.0
HD-134-0,660224.38,4331951.726,710.289,NO,0.0
HD-134-1,660230.368,4331951.757,710.23,NO,0.0
HD-135-0,660236.304,4331801.819,715.156,NO,0.0
HD-135-1,660242.317,4331801.85,715.092,NO,0.0
HD-136-0,660236.341,4331876.664,711.858,SI,-0.235
HD-136-1,660242.354,4331876.85,711.742,SI,-0.309
HD-137-0,660236.346,4331951.918,710.222,NO,0.0
HD-137-1,660242.346,4331951.954,710.207,NO,0.0
HD-138-0,660248.302,4331801.84,714.959,NO,0.0
HD-138-1,660254.336,4331801.855,714.808,NO,0.0
HD-139-0,660248.296,4331876.769,712.007,NO,0.0
HD-139-1,660254.294,4331876.783,711.948,NO,0.0
HD-14-0,659660.345,4331940.974,722.757,NO,0.0
HD-14-1,659666.329,4331940.971,722.503,NO,0.0
HD-140-0,660248.313,4331951.718,710.129,NO,0.0
HD-140-1,660254.304,4331951.723,710.093,NO,0.0
HD-141-0,660260.346,4331801.851,714.68,NO,0.0
HD-141-1,660266.329,4331801.864,714.586,NO,0.0
HD-142-0,660260.363,4331876.8,711.833,NO,0.0
HD-142-1,660266.367,4331876.803,711.737,NO,0.0
HD-143-0,660260.363,4331951.65,709.993,NO,0.0
HD-143-1,660266.361,4331951.648,709.924,NO,0.0
HD-144-0,660272.318,4331801.86,714.39,NO,0.0
HD-144-1,660278.319,4331801.83,714.288,NO,0.0
HD-145-0,660272.314,4331876.797,711.653,NO,0.0
HD-145-1,660278.301,4331876.782,711.583,NO,0.0
HD-146-0,660272.314,4331951.705,709.888,NO,0.0
HD-146-1,660278.329,4331951.69,709.8,NO,0.0
HD-147-0,660284.298,4331801.85,714.1,NO,0.0
HD-147-1,660290.299,4331801.759,713.996,NO,0.0
HD-148-0,660284.301,4331876.77,711.459,NO,0.0
HD-148-1,660290.288,4331876.785,711.427,NO,0.0
HD-149-0,660284.384,4331951.643,709.89,NO,0.0
HD-149-1,660290.357,4331951.644,709.82,NO,0.0
HD-15-0,659672.299,4331866.031,722.158,NO,0.0
HD-15-1,659678.309,4331865.997,721.953,NO,0.0
HD-150-0,660296.355,4331792.616,714.245,NO,0.0
HD-150-1,660302.361,4331792.593,714.218,NO,0.0
HD-151-0,660296.338,4331858.343,711.972,NO,0.0
HD-151-1,660302.354,4331858.312,711.929,NO,0.0
HD-152-0,660296.365,4331933.225,710.007,NO,0.0
HD-152-1,660302.338,4331933.213,709.935,NO,0.0
HD-153-0,660308.379,4331792.593,714.122,NO,0.0
HD-153-1,660314.395,4331792.638,714.086,NO,0.0
HD-154-0,660308.366,4331858.377,711.858,NO,0.0
HD-154-1,660314.343,4331858.307,711.891,NO,0.0
