pid,x,y,z,fila,extremo,junta,codigo
1,659400.484,4331709.192,732.473,PD-465-1,norte,NO,tracker
2,659400.475,4331709.197,732.476,PD-465-1,norte,NO,tracker
3,659400.473,4331709.197,732.482,PD-465-1,norte,NO,tracker
4,659394.488,4331709.213,732.589,PD-465-0,norte,NO,tracker
5,659388.507,4331709.211,732.61,PD-461-1,norte,NO,tracker
6,659382.498,4331709.184,732.652,PD-461-0,norte,NO,tracker
7,659376.482,4331709.206,732.685,PD-458-1,norte,NO,tracker
8,659370.472,4331709.293,732.841,PD-458-0,norte,NO,tracker
9,659370.466,4331709.275,732.824,PD-458-0,norte,NO,tracker
10,659364.487,4331709.236,732.94,PD-455-1,norte,NO,tracker
11,659358.478,4331709.294,733.083,PD-455-0,norte,NO,tracker
12,659352.453,4331747.291,732.343,PD-452-1,norte,NO,tracker
13,659346.477,4331747.308,732.678,PD-452-0,norte,NO,tracker
14,659340.451,4331747.282,732.971,PD-449-1,norte,NO,tracker
15,659334.453,4331747.328,733.183,PD-449-0,norte,NO,tracker
16,659328.475,4331765.761,732.922,PD-446-1,norte,NO,tracker
17,659322.464,4331765.789,733.133,PD-446-0,norte,NO,tracker
18,659316.454,4331765.752,733.322,PD-443-1,norte,NO,tracker
19,659310.434,4331765.745,733.478,PD-443-0,norte,NO,tracker
20,659304.411,4331765.734,733.732,PD-441-1,norte,NO,tracker
21,659298.451,4331765.747,733.987,PD-441-0,norte,NO,tracker
22,659292.51,4331765.754,734.191,PD-439-1,norte,NO,tracker
23,659286.511,4331765.751,734.375,PD-439-0,norte,NO,tracker
24,659280.441,4331765.751,734.647,PD-437-1,norte,NO,tracker
25,659274.445,4331765.761,734.82,PD-437-0,norte,NO,tracker
26,659268.44,4331765.727,735.148,PD-435-1,norte,NO,tracker
27,659262.454,4331765.797,735.251,PD-435-0,norte,NO,tracker
28,659256.469,4331765.751,735.642,PD-433-1,norte,NO,tracker
29,659250.461,4331765.738,735.795,PD-433-0,norte,NO,tracker
30,659244.49,4331734.227,736.854,PD-431-1,norte,NO,tracker
31,659238.461,4331734.264,737.07,PD-431-0,norte,NO,tracker
32,659232.442,4331734.2,737.267,PD-430-1,norte,NO,tracker
