id,X,Y,Z,rc,assigned,tracker_idx,row_side,Tracker_ID,NCU,GW,TCU,PS,NCU_ACCIONA,GRUPO,Tracker_Xref,Tracker_Yref,dx_ref,dy_ref,mesa,m_side,corner
1,200962.096,8162440.445,1568.593,717.0,True,358.0,W,TR-03_1-001,4.0,1.0,1.0,03_1,MU-03_1-20,1.0,200968.2795,8162403.138,-6.184,37.307,1,N,NW
2,200962.131,8162403.739,1568.394,717.0,True,358.0,W,TR-03_1-001,4.0,1.0,1.0,03_1,MU-03_1-20,1.0,200968.2795,8162403.138,-6.149,0.601,1,S,SW
3,200962.124,8162402.715,1568.421,717.0,True,358.0,W,TR-03_1-001,4.0,1.0,1.0,03_1,MU-03_1-20,1.0,200968.2795,8162403.138,-6.155,-0.423,2,N,NW
4,200962.184,8162366.036,1569.653,717.0,True,358.0,W,TR-03_1-001,4.0,1.0,1.0,03_1,MU-03_1-20,1.0,200968.2795,8162403.138,-6.095,-37.102,2,S,SW
5,200962.13,8162365.227,1569.237,751.0,True,375.0,W,TR-03_1-018,4.0,1.0,18.0,03_1,MU-03_1-20,1.0,200968.2795,8162328.032,-6.149,37.195,1,N,NW
6,200962.113,8162328.548,1568.59,751.0,True,375.0,W,TR-03_1-018,4.0,1.0,18.0,03_1,MU-03_1-20,1.0,200968.2795,8162328.032,-6.166,0.516,1,S,SW
7,200962.114,8162327.538,1568.605,751.0,True,375.0,W,TR-03_1-018,4.0,1.0,18.0,03_1,MU-03_1-20,1.0,200968.2795,8162328.032,-6.166,-0.494,2,N,NW
8,200962.133,8162290.823,1569.329,751.0,True,375.0,W,TR-03_1-018,4.0,1.0,18.0,03_1,MU-03_1-20,1.0,200968.2795,8162328.032,-6.147,-37.209,2,S,SW
9,200955.957,8162290.751,1569.189,1074.0,True,537.0,E,TR-04_1-056,5.0,1.0,56.0,04_1,MU-04_1-17,5.0,200955.8835,8162328.032,0.073,-37.281,2,S,SE
10,200949.724,8162290.891,1568.9,1075.0,True,537.0,W,TR-04_1-056,5.0,1.0,56.0,04_1,MU-04_1-17,5.0,200955.8835,8162328.032,-6.16,-37.141,2,S,SW
11,200955.927,8162328.259,1568.403,1074.0,True,537.0,E,TR-04_1-056,5.0,1.0,56.0,04_1,MU-04_1-17,5.0,200955.8835,8162328.032,0.043,0.227,1,S,SE
12,200955.923,8162327.454,1568.404,1074.0,True,537.0,E,TR-04_1-056,5.0,1.0,56.0,04_1,MU-04_1-17,5.0,200955.8835,8162328.032,0.04,-0.578,2,N,NE
13,200949.69,8162327.599,1568.388,1075.0,True,537.0,W,TR-04_1-056,5.0,1.0,56.0,04_1,MU-04_1-17,5.0,200955.8835,8162328.032,-6.193,-0.433,2,N,NW
14,200949.689,8162328.572,1568.385,1075.0,True,537.0,W,TR-04_1-056,5.0,1.0,56.0,04_1,MU-04_1-17,5.0,200955.8835,8162328.032,-6.194,0.54,1,S,SW
15,200955.971,8162365.865,1569.467,1042.0,True,521.0,E,TR-04_1-040,5.0,1.0,40.0,04_1,MU-04_1-17,5.0,200955.8835,8162403.138,0.087,-37.273,2,S,SE
16,200955.94,8162365.164,1569.104,1074.0,True,537.0,E,TR-04_1-056,5.0,1.0,56.0,04_1,MU-04_1-17,5.0,200955.8835,8162328.032,0.057,37.132,1,N,NE
17,200949.71,8162365.298,1569.024,1075.0,True,537.0,W,TR-04_1-056,5.0,1.0,56.0,04_1,MU-04_1-17,5.0,200955.8835,8162328.032,-6.174,37.266,1,N,NW
18,200949.714,8162366.019,1569.258,1043.0,True,521.0,W,TR-04_1-040,5.0,1.0,40.0,04_1,MU-04_1-17,5.0,200955.8835,8162403.138,-6.169,-37.119,2,S,SW
19,200955.934,8162402.537,1568.334,1042.0,True,521.0,E,TR-04_1-040,5.0,1.0,40.0,04_1,MU-04_1-17,5.0,200955.8835,8162403.138,0.051,-0.601,2,N,NE
20,200955.937,8162403.364,1568.326,1042.0,True,521.0,E,TR-04_1-040,5.0,1.0,40.0,04_1,MU-04_1-17,5.0,200955.8835,8162403.138,0.054,0.226,1,S,SE
21,200949.761,8162403.693,1568.329,1043.0,True,521.0,W,TR-04_1-040,5.0,1.0,40.0,04_1,MU-04_1-17,5.0,200955.8835,8162403.138,-6.122,0.555,1,S,SW
22,200949.752,8162402.755,1568.351,1043.0,True,521.0,W,TR-04_1-040,5.0,1.0,40.0,04_1,MU-04_1-17,5.0,200955.8835,8162403.138,-6.131,-0.383,2,N,NW
23,200955.905,8162440.285,1568.489,1042.0,True,521.0,E,TR-04_1-040,5.0,1.0,40.0,04_1,MU-04_1-17,5.0,200955.8835,8162403.138,0.022,37.147,1,N,NE
24,200949.679,8162440.44,1568.705,1043.0,True,521.0,W,TR-04_1-040,5.0,1.0,40.0,04_1,MU-04_1-17,5.0,200955.8835,8162403.138,-6.204,37.302,1,N,NW
25,200949.632,8162441.156,1568.704,,False,,?,,,,,,,,,,,,-1,?,?
26,200949.685,8162478.91,1568.292,,False,,?,,,,,,,,,,,,-1,?,?
27,200949.683,8162477.847,1568.305,,False,,?,,,,,,,,,,,,-1,?,?
28,200949.68,8162515.569,1567.165,,False,,?,,,,,,,,,,,,-1,?,?
29,200943.478,8162515.408,1567.14,1010.0,True,505.0,E,TR-04_1-024,5.0,1.0,24.0,04_1,MU-04_1-17,5.0,200943.4875,8162478.244,-0.009,37.164,1,N,NE
30,200937.345,8162515.539,1566.884,1011.0,True,505.0,W,TR-04_1-024,5.0,1.0,24.0,04_1,MU-04_1-17,5.0,200943.4875,8162478.244,-6.142,37.295,1,N,NW
31,200937.302,8162478.834,1567.804,1011.0,True,505.0,W,TR-04_1-024,5.0,1.0,24.0,04_1,MU-04_1-17,5.0,200943.4875,8162478.244,-6.185,0.59,1,S,SW
32,200937.317,8162477.812,1567.816,1011.0,True,505.0,W,TR-04_1-024,5.0,1.0,24.0,04_1,MU-04_1-17,5.0,200943.4875,8162478.244,-6.17,-0.432,2,N,NW
33,200943.508,8162477.675,1568.131,1010.0,True,505.0,E,TR-04_1-024,5.0,1.0,24.0,04_1,MU-04_1-17,5.0,200943.4875,8162478.244,0.021,-0.569,2,N,NE
34,200943.516,8162478.524,1568.115,1010.0,True,505.0,E,TR-04_1-024,5.0,1.0,24.0,04_1,MU-04_1-17,5.0,200943.4875,8162478.244,0.029,0.28,1,S,SE
35,200937.291,8162441.12,1568.03,1011.0,True,505.0,W,TR-04_1-024,5.0,1.0,24.0,04_1,MU-04_1-17,5.0,200943.4875,8162478.244,-6.196,-37.124,2,S,SW
36,200943.52,8162440.991,1568.107,1010.0,True,505.0,E,TR-04_1-024,5.0,1.0,24.0,04_1,MU-04_1-17,5.0,200943.4875,8162478.244,0.033,-37.253,2,S,SE
37,200943.524,8162440.344,1568.016,1040.0,True,520.0,E,TR-04_1-039,5.0,1.0,39.0,04_1,MU-04_1-17,5.0,200943.4875,8162403.138,0.037,37.206,1,N,NE
38,200937.323,8162403.71,1568.01,1041.0,True,520.0,W,TR-04_1-039,5.0,1.0,39.0,04_1,MU-04_1-17,5.0,200943.4875,8162403.138,-6.164,0.572,1,S,SW
39,200937.284,8162402.812,1568.028,1041.0,True,520.0,W,TR-04_1-039,5.0,1.0,39.0,04_1,MU-04_1-17,5.0,200943.4875,8162403.138,-6.203,-0.326,2,N,NW
40,200943.533,8162402.703,1568.189,1040.0,True,520.0,E,TR-04_1-039,5.0,1.0,39.0,04_1,MU-04_1-17,5.0,200943.4875,8162403.138,0.046,-0.435,2,N,NE
41,200943.503,8162403.36,1567.826,1040.0,True,520.0,E,TR-04_1-039,5.0,1.0,39.0,04_1,MU-04_1-17,5.0,200943.4875,8162403.138,0.016,0.222,1,S,SE
42,200943.518,8162365.928,1569.049,1040.0,True,520.0,E,TR-04_1-039,5.0,1.0,39.0,04_1,MU-04_1-17,5.0,200943.4875,8162403.138,0.031,-37.21,2,S,SE
43,200943.515,8162365.149,1568.589,1072.0,True,536.0,E,TR-04_1-055,5.0,1.0,55.0,04_1,MU-04_1-17,5.0,200943.4875,8162328.032,0.028,37.117,1,N,NE
44,200937.353,8162366.048,1568.869,1041.0,True,520.0,W,TR-04_1-039,5.0,1.0,39.0,04_1,MU-04_1-17,5.0,200943.4875,8162403.138,-6.134,-37.09,2,S,SW
