X_ref,Y_ref,PS,NCU ACCIONA,NCU,GW,TCU,Tracker_ID,GRUPO,Sheet
201720.2235,8162238.826,01_1,MU-01_1-21,1,1,1,TR-01_1-001,1.0,NCU 1
201732.6195,8162245.826,01_1,MU-01_1-21,1,1,2,TR-01_1-002,1.0,NCU 1
201745.0155,8162245.826,01_1,MU-01_1-21,1,1,3,TR-01_1-003,1.0,NCU 1
201757.4115,8162245.826,01_1,MU-01_1-21,1,1,4,TR-01_1-004,2.0,NCU 1
201769.8075,8162245.826,01_1,MU-01_1-21,1,1,5,TR-01_1-005,2.0,NCU 1
201782.2035,8162245.826,01_1,MU-01_1-21,1,1,6,TR-01_1-006,2.0,NCU 1
201794.5995,8162245.826,01_1,MU-01_1-21,1,1,7,TR-01_1-007,3.0,NCU 1
201806.9955,8162245.826,01_1,MU-01_1-21,1,1,8,TR-01_1-008,3.0,NCU 1
201720.2235,8162163.72,01_1,MU-01_1-21,1,1,9,TR-01_1-009,1.0,NCU 1
201732.6195,8162170.72,01_1,MU-01_1-21,1,1,10,TR-01_1-010,1.0,NCU 1
201745.0155,8162170.72,01_1,MU-01_1-21,1,1,11,TR-01_1-011,1.0,NCU 1
201757.4115,8162170.72,01_1,MU-01_1-21,1,1,12,TR-01_1-012,2.0,NCU 1
201769.8075,8162170.72,01_1,MU-01_1-21,1,1,13,TR-01_1-013,2.0,NCU 1
201782.2035,8162170.72,01_1,MU-01_1-21,1,1,14,TR-01_1-014,2.0,NCU 1
201794.5995,8162170.72,01_1,MU-01_1-21,1,1,15,TR-01_1-015,3.0,NCU 1
201806.9955,8162170.72,01_1,MU-01_1-21,1,1,16,TR-01_1-016,3.0,NCU 1
201819.3915,8162170.72,01_1,MU-01_1-21,1,1,17,TR-01_1-017,3.0,NCU 1
201831.7875,8162170.72,01_1,MU-01_1-21,1,1,18,TR-01_1-018,3.0,NCU 1
201720.2235,8162088.614,01_1,MU-01_1-21,1,1,19,TR-01_1-019,1.0,NCU 1
201732.6195,8162095.614,01_1,MU-01_1-21,1,1,20,TR-01_1-020,1.0,NCU 1
201745.0155,8162095.614,01_1,MU-01_1-21,1,1,21,TR-01_1-021,1.0,NCU 1
201757.4115,8162095.614,01_1,MU-01_1-21,1,1,22,TR-01_1-022,2.0,NCU 1
201769.8075,8162095.614,01_1,MU-01_1-21,1,1,23,TR-01_1-023,2.0,NCU 1
